# Created by Octave 3.4.0, Mon Aug 25 15:19:44 2014 CST <wuyueqiu@MacBook.local>
# name: data
# type: matrix
# rows: 60
# columns: 2
 0.8033901186151712 1.230301354214201
 1.404388437202625 0.7251662271307339
 0.6709272509495644 1.712861343735572
 0.2139289450301066 1.390667986262721
 1.196234322094852 0.3379573954496734
 1.356749513131646 1.492812610858719
 1.105478580424706 0.7575419579643706
 0.7768987496439302 1.31610998459652
 1.406231294228482 0.256744021199394
 0.0184369495523383 0.4092366184253996
 0.782508697307538 0.9901070668514264
 1.739280048160528 0.4939848222117461
 0.4668427291903606 1.632669832248815
 0.8422775537113104 0.5910753228019391
 0.6640223570689386 1.949327404364722
 1.070838921165973 1.55921995517588
 0.3315454301709452 1.291489584702573
 1.454452421529765 1.997901076660511
 1.986822683115168 1.189001797985773
 0.2672747976565278 0.6803697770284335
 3.86359225122297 1.813973575482334
 4.400524262023247 1.580473620886555
 3.719912595976108 2.956758440773084
 4.613672960663648 1.397684999584015
 3.520356989966524 2.744529127811479
 4.551578421090699 1.760735100061018
 4.603118342311788 2.239148743728531
 3.960064863315125 1.368675883993603
 3.8096753538184 1.911733635887975
 3.22380998207224 1.055423731372458
 3.926724886816573 1.147592560103501
 4.358574187637371 2.159137618517015
 4.844314229834037 1.944074970950062
 4.250751508160123 1.051227592226073
 3.673918905323689 1.808606076698545
 3.761590715217244 1.838836628207578
 3.040773841185897 1.795418879401297
 4.673884670273272 2.700217419180746
 3.264608135381603 2.249706715787833
 4.655420534223225 1.261927642035598
 2.561059922546128 4.504859689880992
 1.893258968412433 4.589003128237863
 2.911738947155073 3.844206863493123
 1.780657578136761 4.006180418594933
 2.7472801320347 4.979808017114255
 2.679064847871477 3.003089155047348
 1.597919800101016 3.54081158425652
 2.59324030928575 4.116841014348742
 1.478544420139643 3.733419865316091
 2.64591182692604 4.490474336128143
 2.197763974049771 4.495462596178369
 2.233678653947207 4.530809163831639
 2.97970439897028 3.825364971110363
 1.128600749044394 4.398542604249546
 2.027526689495005 4.383674356036099
 2.478287899413674 4.434134791918899
 2.272423525586325 4.446369511256112
 1.416522377228658 4.609583945942355
 1.110404515047624 4.009158805532526
 2.312033837516843 3.828882677837237


